key,service,resource_name,asset_class,identity_rule,parent_params,required_args,collect,reason
connect.search_agent_status,connect,search_agent_status,artifact,none,,,no,returns a list but declares no id field
connect.search_contact_evaluation,connect,search_contact_evaluation,artifact,none,,,no,returns a list but declares no id field
connect.search_contact_flow,connect,search_contact_flow,artifact,none,,,no,returns a list but declares no id field
connect.search_contact_flow_module,connect,search_contact_flow_module,artifact,none,,,no,returns a list but declares no id field
connect.search_email_address,connect,search_email_address,artifact,none,,,no,returns a list but declares no id field
connect.search_evaluation_form,connect,search_evaluation_form,artifact,none,,,no,returns a list but declares no id field
connect.search_hours_of_operation_override,connect,search_hours_of_operation_override,artifact,none,,,no,returns a list but declares no id field
connect.search_predefined_attribute,connect,search_predefined_attribute,artifact,none,,,no,"name denotes an API readout, not a resource"
connect.search_user_hierarchy_group,connect,search_user_hierarchy_group,artifact,none,,,no,returns a list but declares no id field
connect.security_profile_permission,connect,security_profile_permission,artifact,none,,,no,"name denotes an API readout, not a resource"
connect.tags_for_resource,connect,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
connect.test_case,connect,TestCase,artifact,none,,,no,no read operation; cannot be collected
connect.workspace,connect,Workspace,artifact,none,,,no,no read operation; cannot be collected
connectcampaigns.tags_for_resource,connectcampaigns,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
connectcampaignsv2.campaign_state,connectcampaignsv2,campaign_state,artifact,none,,,no,returns a list but declares no id field
connectcampaignsv2.campaign_state_batch,connectcampaignsv2,campaign_state_batch,artifact,none,,,no,returns a list but declares no id field
connectcampaignsv2.connect_instance_config,connectcampaignsv2,connect_instance_config,artifact,none,,,no,returns a list but declares no id field
connectcampaignsv2.connect_instance_integration,connectcampaignsv2,connect_instance_integration,artifact,none,,,no,returns a list but declares no id field
connectcampaignsv2.instance_communication_limit,connectcampaignsv2,instance_communication_limit,artifact,none,,,no,"name denotes an API readout, not a resource"
connectcampaignsv2.instance_onboarding_job_status,connectcampaignsv2,instance_onboarding_job_statu,artifact,none,,,no,returns a list but declares no id field
connectcampaignsv2.tags_for_resource,connectcampaignsv2,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
connectcases.tags_for_resource,connectcases,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
connectparticipant.authentication_url,connectparticipant,authentication_url,artifact,none,,,no,returns a list but declares no id field
controlcatalog.control_mapping,controlcatalog,control_mapping,artifact,none,,,no,returns a list but declares no id field
controltower.control_operation,controltower,control_operation,artifact,none,,,no,returns a list but declares no id field
cost-optimization-hub.efficiency_metric,cost-optimization-hub,efficiency_metric,artifact,none,,,no,returns a list but declares no id field
cost-optimization-hub.enrollment_status,cost-optimization-hub,enrollment_status,artifact,none,,,no,returns a list but declares no id field
cost-optimization-hub.recommendation,cost-optimization-hub,recommendation,artifact,none,,,no,"name denotes an API readout, not a resource"
cost-optimization-hub.recommendation_summary,cost-optimization-hub,recommendation_summary,artifact,none,,,no,"name denotes an API readout, not a resource"
costexplorer.anomaly_monitor,costexplorer,anomaly_monitor,artifact,none,,,no,returns a list but declares no id field
costexplorer.anomaly_subscription,costexplorer,anomaly_subscription,artifact,none,,,no,returns a list but declares no id field
costexplorer.cost_allocation_tag,costexplorer,cost_allocation_tag,artifact,none,,,no,"name denotes an API readout, not a resource"
cur.tags_for_resource,cur,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
customer-profiles.auto_merging_preview,customer-profiles,auto_merging_preview,artifact,none,,,no,"name denotes an API readout, not a resource"
customer-profiles.domain_layout,customer-profiles,domain_layout,artifact,none,,,no,returns a list but declares no id field
customer-profiles.object_type_attribute,customer-profiles,object_type_attribute,artifact,none,,,no,"name denotes an API readout, not a resource"
customer-profiles.profile_attribute_value,customer-profiles,profile_attribute_value,artifact,none,,,no,returns a list but declares no id field
customer-profiles.segment_estimate,customer-profiles,segment_estimate,artifact,none,,,no,"name denotes an API readout, not a resource"
customer-profiles.segment_snapshot,customer-profiles,segment_snapshot,artifact,none,,,no,returns a list but declares no id field
customer-profiles.tags_for_resource,customer-profiles,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
customer-profiles.upload_job,customer-profiles,upload_job,artifact,none,,,no,returns a list but declares no id field
customer-profiles.upload_job_path,customer-profiles,upload_job_path,artifact,none,,,no,returns a list but declares no id field
customer-profiles.calculated_attribute_definition,customerprofiles,CalculatedAttributeDefinition,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.domain_object_type,customerprofiles,DomainObjectType,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.event_stream,customerprofiles,EventStream,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.event_trigger,customerprofiles,EventTrigger,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.integration,customerprofiles,Integration,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.object_type,customerprofiles,ObjectType,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.profile_object_type,customerprofiles,profile_object_type,artifact,none,,,no,returns a list but declares no id field
customer-profiles.recommender,customerprofiles,Recommender,artifact,none,,,no,no read operation; cannot be collected
customer-profiles.segment_definition,customerprofiles,SegmentDefinition,artifact,none,,,no,no read operation; cannot be collected
databrew.tags_for_resource,databrew,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
dataexchange.tags_for_resource,dataexchange,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
datasync.location_azure_blob,datasync,LocationAzureBlob,artifact,none,,,no,no read operation; cannot be collected
datasync.location_efs,datasync,LocationEFS,artifact,none,,,no,no read operation; cannot be collected
datasync.location_f_sx_lustre,datasync,LocationFSxLustre,artifact,none,,,no,no read operation; cannot be collected
datasync.location_f_sx_ontap,datasync,LocationFSxONTAP,artifact,none,,,no,no read operation; cannot be collected
datasync.location_f_sx_open_zfs,datasync,LocationFSxOpenZFS,artifact,none,,,no,no read operation; cannot be collected
datasync.location_f_sx_windows,datasync,LocationFSxWindows,artifact,none,,,no,no read operation; cannot be collected
datasync.location_hdfs,datasync,LocationHDFS,artifact,none,,,no,no read operation; cannot be collected
datasync.location_nfs,datasync,LocationNFS,artifact,none,,,no,no read operation; cannot be collected
datasync.location_object_storage,datasync,LocationObjectStorage,artifact,none,,,no,no read operation; cannot be collected
datasync.location_s3,datasync,LocationS3,artifact,none,,,no,no read operation; cannot be collected
datasync.location_smb,datasync,LocationSMB,artifact,none,,,no,no read operation; cannot be collected
datazone.account_pool,datazone,account_pool,artifact,none,,,no,returns a list but declares no id field
datazone.accounts_in_account_pool,datazone,accounts_in_account_pool,artifact,none,,,no,returns a list but declares no id field
datazone.data_product_revision,datazone,data_product_revision,artifact,none,,,no,returns a list but declares no id field
datazone.environment_credential,datazone,environment_credential,artifact,none,,,no,returns a list but declares no id field
datazone.tags_for_resource,datazone,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
dax.default_parameter,dax,default_parameter,artifact,none,,,no,returns a list but declares no id field
dax.event,dax,event,artifact,none,,,no,returns a list but declares no id field
dax.tag,dax,tag,artifact,none,,,no,"name denotes an API readout, not a resource"
deadline.farm_member,deadline,farm_member,artifact,none,,,no,returns a list but declares no id field
deadline.fleet_member,deadline,fleet_member,artifact,none,,,no,returns a list but declares no id field
deadline.job_member,deadline,job_member,artifact,none,,,no,returns a list but declares no id field
deadline.job_parameter_definition,deadline,job_parameter_definition,artifact,none,,,no,returns a list but declares no id field
deadline.limit,deadline,Limit,artifact,none,,,no,"name denotes an API readout, not a resource"
deadline.queue_member,deadline,queue_member,artifact,none,,,no,returns a list but declares no id field
deadline.search_job,deadline,search_job,artifact,none,,,no,returns a list but declares no id field
deadline.search_step,deadline,search_step,artifact,none,,,no,returns a list but declares no id field
deadline.search_task,deadline,search_task,artifact,none,,,no,returns a list but declares no id field
deadline.search_worker,deadline,search_worker,artifact,none,,,no,returns a list but declares no id field
deadline.sessions_for_worker,deadline,sessions_for_worker,artifact,none,,,no,returns a list but declares no id field
deadline.sessions_statistics_aggregation,deadline,sessions_statistics_aggregation,artifact,none,,,no,returns a list but declares no id field
deadline.step_consumer,deadline,step_consumer,artifact,none,,,no,returns a list but declares no id field
deadline.step_dependency,deadline,step_dependency,artifact,none,,,no,returns a list but declares no id field
deadline.storage_profile_for_queue,deadline,storage_profile_for_queue,artifact,none,,,no,returns a list but declares no id field
deadline.storage_profiles_for_queue,deadline,storage_profiles_for_queue,artifact,none,,,no,returns a list but declares no id field
deadline.tags_for_resource,deadline,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
detective.invitation,detective,invitation,artifact,none,,,no,returns a list but declares no id field
detective.member_invitation,detective,MemberInvitation,artifact,none,,,no,no read operation; cannot be collected
detective.organization_admin,detective,OrganizationAdmin,artifact,none,,,no,no read operation; cannot be collected
devicefarm.account_setting,devicefarm,account_setting,artifact,none,,,no,"name denotes an API readout, not a resource"
devicefarm.device_pool_compatibility,devicefarm,device_pool_compatibility,artifact,none,,,no,"name denotes an API readout, not a resource"
devicefarm.offering,devicefarm,offering,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
devicefarm.offering_promotion,devicefarm,offering_promotion,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
devicefarm.offering_transaction,devicefarm,offering_transaction,artifact,none,,,no,returns a list but declares no id field
devicefarm.tags_for_resource,devicefarm,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
devops-guru.anomalies_for_insight,devops-guru,anomalies_for_insight,artifact,none,,,no,"name denotes an API readout, not a resource"
devops-guru.anomaly,devops-guru,anomaly,artifact,none,,,no,"name denotes an API readout, not a resource"
devops-guru.cost_estimation,devops-guru,cost_estimation,artifact,none,,,no,returns a list but declares no id field
devops-guru.insight,devops-guru,insight,artifact,none,,,no,"name denotes an API readout, not a resource"
devops-guru.notification_channel,devops-guru,notification_channel,artifact,none,,,no,returns a list but declares no id field
devops-guru.organization_insight,devops-guru,organization_insight,artifact,none,,,no,"name denotes an API readout, not a resource"
devops-guru.recommendation,devops-guru,recommendation,artifact,none,,,no,"name denotes an API readout, not a resource"
devopsagent.agent_space,devopsagent,AgentSpace,artifact,none,,,no,no read operation; cannot be collected
devopsagent.association,devopsagent,Association,artifact,none,,,no,no read operation; cannot be collected
devopsagent.private_connection,devopsagent,PrivateConnection,artifact,none,,,no,no read operation; cannot be collected
devopsagent.service,devopsagent,Service,artifact,none,,,no,no read operation; cannot be collected
devops-guru.log_anomaly_detection_integration,devopsguru,LogAnomalyDetectionIntegration,artifact,none,,,no,no read operation; cannot be collected
devops-guru.resource_collection,devopsguru,ResourceCollection,artifact,none,,,no,no read operation; cannot be collected
directconnect.private_virtual_interface,directconnect,PrivateVirtualInterface,artifact,none,,,no,no read operation; cannot be collected
directconnect.public_virtual_interface,directconnect,PublicVirtualInterface,artifact,none,,,no,no read operation; cannot be collected
directconnect.transit_virtual_interface,directconnect,TransitVirtualInterface,artifact,none,,,no,no read operation; cannot be collected
directconnect.virtual_interface_test_history,directconnect,virtual_interface_test_history,artifact,none,,,no,returns a list but declares no id field
directoryservice.event_topic,directoryservice,event_topic,artifact,none,,,no,returns a list but declares no id field
directoryservice.microsoft_ad,directoryservice,MicrosoftAD,artifact,none,,,no,no read operation; cannot be collected
directoryservice.simple_ad,directoryservice,SimpleAD,artifact,none,,,no,no read operation; cannot be collected
discovery.continuous_export,discovery,continuous_export,artifact,none,,,no,returns a list but declares no id field
discovery.discovery_summary,discovery,discovery_summary,artifact,none,,,no,"name denotes an API readout, not a resource"
discovery.export_configuration,discovery,export_configuration,artifact,none,,,no,returns a list but declares no id field
discovery.export_task,discovery,export_task,artifact,none,,,no,returns a list but declares no id field
discovery.tag,discovery,tag,artifact,none,,,no,"name denotes an API readout, not a resource"
dlm.tags_for_resource,dlm,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
dms.replication,dms,replication,artifact,none,,,no,returns a list but declares no id field
dms.tags_for_resource,dms,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
docdb.event,docdb,event,artifact,none,,,no,returns a list but declares no id field
docdb-elastic.pending_maintenance_action,docdb-elastic,pending_maintenance_action,artifact,none,,,no,returns a list but declares no id field
docdb-elastic.tags_for_resource,docdb-elastic,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
docdb-elastic.cluster,docdbelastic,Cluster,artifact,none,,,no,no read operation; cannot be collected
ds.ad_assessment,ds,ad_assessment,artifact,none,,,no,returns a list but declares no id field
ds.ca_enrollment_policy,ds,ca_enrollment_policy,artifact,none,,,no,returns a list but declares no id field
ds.directory_data_access,ds,directory_data_access,artifact,none,,,no,returns a list but declares no id field
ds.directory_limit,ds,directory_limit,artifact,none,,,no,"name denotes an API readout, not a resource"
ds.event_topic,ds,event_topic,artifact,none,,,no,returns a list but declares no id field
ds.hybrid_ad_update,ds,hybrid_ad_update,artifact,none,,,no,returns a list but declares no id field
ds.log_subscription,ds,log_subscription,artifact,none,,,no,returns a list but declares no id field
ds.snapshot_limit,ds,snapshot_limit,artifact,none,,,no,"name denotes an API readout, not a resource"
ds.tags_for_resource,ds,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
ds-data.group,ds-data,group,artifact,none,,,no,returns a list but declares no id field
ds-data.group_member,ds-data,group_member,artifact,none,,,no,returns a list but declares no id field
ds-data.groups_for_member,ds-data,groups_for_member,artifact,none,,,no,returns a list but declares no id field
ds-data.search_group,ds-data,search_group,artifact,none,,,no,returns a list but declares no id field
ds-data.search_user,ds-data,search_user,artifact,none,,,no,returns a list but declares no id field
ds-data.user,ds-data,user,artifact,none,,,no,returns a list but declares no id field
dsql.cluster_policy,dsql,cluster_policy,artifact,none,,,no,returns a list but declares no id field
dsql.tags_for_resource,dsql,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
dsql.vpc_endpoint_service_name,dsql,vpc_endpoint_service_name,artifact,none,,,no,returns a list but declares no id field
ebs.fast_snapshot_restore,ebs,fast_snapshot_restore,artifact,none,,,no,returns a list but declares no id field
ec2.active_vpn_tunnel_status,ec2,active_vpn_tunnel_statu,artifact,none,,,no,returns a list but declares no id field
ec2.address_transfer,ec2,address_transfer,artifact,none,,,no,returns a list but declares no id field
ec2.capacity_manager_data_export,ec2,CapacityManagerDataExport,artifact,none,,,no,no read operation; cannot be collected
ec2.classic_link_instance,ec2,classic_link_instance,artifact,none,,,no,returns a list but declares no id field
ec2.client_vpn_authorization_rule,ec2,ClientVpnAuthorizationRule,artifact,none,,,no,no read operation; cannot be collected
ec2.client_vpn_route,ec2,ClientVpnRoute,artifact,none,,,no,no read operation; cannot be collected
ec2.client_vpn_target_network_association,ec2,ClientVpnTargetNetworkAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.coip_pool,ec2,coip_pool,artifact,none,,,no,returns a list but declares no id field
ec2.ec2_fleet,ec2,EC2Fleet,artifact,none,,,no,no read operation; cannot be collected
ec2.eip_association,ec2,EIPAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.enabled_ipam_policy,ec2,enabled_ipam_policy,artifact,none,,,no,returns a list but declares no id field
ec2.enclave_certificate_iam_role_association,ec2,EnclaveCertificateIamRoleAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.gateway_route_table_association,ec2,GatewayRouteTableAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.import_image_task,ec2,import_image_task,artifact,none,,,no,returns a list but declares no id field
ec2.instance_image_metadata,ec2,instance_image_metadata,artifact,none,,,no,"name denotes an API readout, not a resource"
ec2.instance_status,ec2,instance_statu,artifact,none,,,no,returns a list but declares no id field
ec2.ip_pool_route_table_association,ec2,IpPoolRouteTableAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.ipam_allocation,ec2,IPAMAllocation,artifact,none,,,no,no read operation; cannot be collected
ec2.ipam_pool_cidr,ec2,IPAMPoolCidr,artifact,none,,,no,no read operation; cannot be collected
ec2.ipv6_pool,ec2,ipv6_pool,artifact,none,,,no,returns a list but declares no id field
ec2.launch_template_version,ec2,launch_template_version,artifact,none,,,no,returns a list but declares no id field
ec2.local_gateway_route,ec2,LocalGatewayRoute,artifact,none,,,no,no read operation; cannot be collected
ec2.network_acl_entry,ec2,NetworkAclEntry,artifact,none,,,no,no read operation; cannot be collected
ec2.network_insights_access_scope_analys,ec2,network_insights_access_scope_analys,artifact,none,,,no,returns a list but declares no id field
ec2.network_insights_access_scope_analysis,ec2,NetworkInsightsAccessScopeAnalysis,artifact,none,,,no,no read operation; cannot be collected
ec2.network_insights_analys,ec2,network_insights_analys,artifact,none,,,no,returns a list but declares no id field
ec2.network_insights_analysis,ec2,NetworkInsightsAnalysis,artifact,none,,,no,no read operation; cannot be collected
ec2.network_interface_attachment,ec2,NetworkInterfaceAttachment,artifact,none,,,no,no read operation; cannot be collected
ec2.network_interface_permission,ec2,NetworkInterfacePermission,artifact,none,,,no,"name denotes an API readout, not a resource"
ec2.network_performance_metric_subscription,ec2,NetworkPerformanceMetricSubscription,artifact,none,,,no,no read operation; cannot be collected
ec2.public_ipv4_pool,ec2,public_ipv4_pool,artifact,none,,,no,returns a list but declares no id field
ec2.route,ec2,Route,artifact,none,,,no,no read operation; cannot be collected
ec2.route_server,ec2,RouteServer,artifact,none,,,no,no read operation; cannot be collected
ec2.route_server_association,ec2,RouteServerAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.route_server_endpoint,ec2,RouteServerEndpoint,artifact,none,,,no,no read operation; cannot be collected
ec2.route_server_peer,ec2,RouteServerPeer,artifact,none,,,no,no read operation; cannot be collected
ec2.route_server_propagation,ec2,RouteServerPropagation,artifact,none,,,no,no read operation; cannot be collected
ec2.security_group_egress,ec2,SecurityGroupEgress,artifact,none,,,no,no read operation; cannot be collected
ec2.security_group_ingress,ec2,SecurityGroupIngress,artifact,none,,,no,no read operation; cannot be collected
ec2.snapshot_attribute,ec2,snapshot_attribute,artifact,none,,,no,"name denotes an API readout, not a resource"
ec2.snapshot_block_public_access,ec2,SnapshotBlockPublicAccess,artifact,none,,,no,no read operation; cannot be collected
ec2.snapshots_in_recycle_bin,ec2,snapshots_in_recycle_bin,artifact,none,,,no,returns a list but declares no id field
ec2.spot_fleet,ec2,SpotFleet,artifact,none,,,no,no read operation; cannot be collected
ec2.sql_ha_standby_detected_instance,ec2,SqlHaStandbyDetectedInstance,artifact,none,,,no,no read operation; cannot be collected
ec2.subnet_cidr_block,ec2,SubnetCidrBlock,artifact,none,,,no,no read operation; cannot be collected
ec2.subnet_network_acl_association,ec2,SubnetNetworkAclAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.subnet_route_table_association,ec2,SubnetRouteTableAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.traffic_mirror_filter_rule,ec2,TrafficMirrorFilterRule,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_metering_policy,ec2,TransitGatewayMeteringPolicy,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_metering_policy_entry,ec2,TransitGatewayMeteringPolicyEntry,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_multicast_domain_association,ec2,TransitGatewayMulticastDomainAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_multicast_group_member,ec2,TransitGatewayMulticastGroupMember,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_multicast_group_source,ec2,TransitGatewayMulticastGroupSource,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_policy_table_association,ec2,TransitGatewayPolicyTableAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_policy_table_entry,ec2,TransitGatewayPolicyTableEntry,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_route,ec2,TransitGatewayRoute,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_route_table_association,ec2,TransitGatewayRouteTableAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.transit_gateway_route_table_propagation,ec2,TransitGatewayRouteTablePropagation,artifact,none,,,no,no read operation; cannot be collected
ec2.volume_attachment,ec2,VolumeAttachment,artifact,none,,,no,no read operation; cannot be collected
ec2.volume_status,ec2,volume_statu,artifact,none,,,no,returns a list but declares no id field
ec2.volumes_in_recycle_bin,ec2,volumes_in_recycle_bin,artifact,none,,,no,returns a list but declares no id field
ec2.vpc_cidr_block,ec2,VPCCidrBlock,artifact,none,,,no,no read operation; cannot be collected
ec2.vpc_encryption_control,ec2,VPCEncryptionControl,artifact,none,,,no,no read operation; cannot be collected
ec2.vpc_endpoint_service_configuration,ec2,vpc_endpoint_service_configuration,artifact,none,,,no,returns a list but declares no id field
ec2.vpc_endpoint_service_permissions,ec2,VPCEndpointServicePermissions,artifact,none,,,no,"name denotes an API readout, not a resource"
ec2.vpc_gateway_attachment,ec2,VPCGatewayAttachment,artifact,none,,,no,no read operation; cannot be collected
ec2.vpcdhcp_options_association,ec2,VPCDHCPOptionsAssociation,artifact,none,,,no,no read operation; cannot be collected
ec2.vpn_concentrator,ec2,VPNConcentrator,artifact,none,,,no,no read operation; cannot be collected
ec2.vpn_connection_route,ec2,VPNConnectionRoute,artifact,none,,,no,no read operation; cannot be collected
ec2.vpn_gateway_route_propagation,ec2,VPNGatewayRoutePropagation,artifact,none,,,no,no read operation; cannot be collected
ecr.ecr_image,ecr,ecr-image,artifact,none,,,no,no read operation; cannot be collected
ecr.public_repository,ecr,PublicRepository,artifact,none,,,no,no read operation; cannot be collected
ecr.pull_time_update_exclusion,ecr,PullTimeUpdateExclusion,artifact,none,,,no,no read operation; cannot be collected
ecr.replication_configuration,ecr,ReplicationConfiguration,artifact,none,,,no,no read operation; cannot be collected
ecr.signing_configuration,ecr,SigningConfiguration,artifact,none,,,no,no read operation; cannot be collected
ecr-public.image_tag,ecr-public,image_tag,artifact,none,,,no,"name denotes an API readout, not a resource"
ecr-public.tags_for_resource,ecr-public,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
ecs.account_setting,ecs,account_setting,artifact,none,,,no,"name denotes an API readout, not a resource"
ecs.cluster_capacity_provider_associations,ecs,ClusterCapacityProviderAssociations,artifact,none,,,no,no read operation; cannot be collected
ecs.daemon,ecs,Daemon,artifact,none,,,no,no read operation; cannot be collected
ecs.daemon_task_definition,ecs,DaemonTaskDefinition,artifact,none,,,no,no read operation; cannot be collected
ecs.ecs_container_instance,ecs,ecs-container-instance,artifact,none,,,no,no read operation; cannot be collected
ecs.express_gateway_service,ecs,ExpressGatewayService,artifact,none,,,no,no read operation; cannot be collected
ecs.primary_task_set,ecs,PrimaryTaskSet,artifact,none,,,no,no read operation; cannot be collected
ecs.task_set,ecs,TaskSet,artifact,none,,,no,no read operation; cannot be collected
edr.cas,edr,cas,artifact,none,,,no,returns a list but declares no id field
efs.account_preference,efs,account_preference,artifact,none,,,no,"name denotes an API readout, not a resource"
efs.replication_configuration,efs,replication_configuration,artifact,none,,,no,returns a list but declares no id field
efs.tag,efs,tag,artifact,none,,,no,"name denotes an API readout, not a resource"
efs.tags_for_resource,efs,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
eip.address,eip,address,artifact,none,,,no,returns a list but declares no id field
eks.access_policy,eks,access_policy,artifact,none,,,no,AWS-managed EKS access policies. A cluster's own associations are a different type.
eks.capability,eks,Capability,artifact,none,,,no,no read operation; cannot be collected
eks.identity_provider_config,eks,IdentityProviderConfig,artifact,none,,,no,no read operation; cannot be collected
eks.pod_identity_association,eks,PodIdentityAssociation,artifact,none,,,no,no read operation; cannot be collected
elastic.domain_name,elastic,domain_name,artifact,none,,,no,returns a list but declares no id field
elasticache.parameter_group,elasticache,ParameterGroup,artifact,none,,,no,no read operation; cannot be collected
elasticache.security_group,elasticache,SecurityGroup,artifact,none,,,no,no read operation; cannot be collected
elasticache.security_group_ingress,elasticache,SecurityGroupIngress,artifact,none,,,no,no read operation; cannot be collected
elasticache.serverless_cache,elasticache,ServerlessCache,artifact,none,,,no,no read operation; cannot be collected
elasticbeanstalk.configuration_template,elasticbeanstalk,ConfigurationTemplate,artifact,none,,,no,no read operation; cannot be collected
elb.load_balancer_attribute,elb,load_balancer_attribute,artifact,none,,,no,"name denotes an API readout, not a resource"
elbv2.listener_rule,elbv2,ListenerRule,artifact,none,,,no,no read operation; cannot be collected
elbv2.load_balancer_attribute,elbv2,load_balancer_attribute,artifact,none,,,no,"name denotes an API readout, not a resource"
elbv2.ssl_policy,elbv2,ssl_policy,artifact,none,,,no,AWS's predefined SSL negotiation policies. The same list everywhere.
elbv2.trust_store_revocation,elbv2,TrustStoreRevocation,artifact,none,,,no,no read operation; cannot be collected
elementalinference.dictionary,elementalinference,Dictionary,artifact,none,,,no,no read operation; cannot be collected
elementalinference.feed,elementalinference,Feed,artifact,none,,,no,no read operation; cannot be collected
emr.instance_fleet_config,emr,InstanceFleetConfig,artifact,none,,,no,no read operation; cannot be collected
emr.instance_group_config,emr,InstanceGroupConfig,artifact,none,,,no,no read operation; cannot be collected
emr.on_cluster_app_ui_presigned_url,emr,on_cluster_app_ui_presigned_url,artifact,none,,,no,returns a list but declares no id field
emr.persistent_app_ui,emr,persistent_app_ui,artifact,none,,,no,returns a list but declares no id field
emr.persistent_app_ui_presigned_url,emr,persistent_app_ui_presigned_url,artifact,none,,,no,returns a list but declares no id field
emr.wal_workspace,emr,WALWorkspace,artifact,none,,,no,no read operation; cannot be collected
emr-containers.tags_for_resource,emr-containers,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
emr-serverless.tags_for_resource,emr-serverless,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
emr-containers.endpoint,emrcontainers,Endpoint,artifact,none,,,no,no read operation; cannot be collected
emr-containers.security_configuration,emrcontainers,SecurityConfiguration,artifact,none,,,no,no read operation; cannot be collected
emr-containers.virtual_cluster,emrcontainers,VirtualCluster,artifact,none,,,no,no read operation; cannot be collected
entityresolution.policy_statement,entityresolution,PolicyStatement,artifact,none,,,no,no read operation; cannot be collected
entityresolution.tags_for_resource,entityresolution,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
es.elasticsearch_instance_type_limit,es,elasticsearch_instance_type_limit,artifact,none,,,no,"name denotes an API readout, not a resource"
es.inbound_cross_cluster_search_connection,es,inbound_cross_cluster_search_connection,artifact,none,,,no,returns a list but declares no id field
es.outbound_cross_cluster_search_connection,es,outbound_cross_cluster_search_connection,artifact,none,,,no,returns a list but declares no id field
es.reserved_elasticsearch_instance_offering,es,reserved_elasticsearch_instance_offering,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
es.tag,es,tag,artifact,none,,,no,"name denotes an API readout, not a resource"
events.event_bus_policy,events,EventBusPolicy,artifact,none,,,no,no read operation; cannot be collected
events.tags_for_resource,events,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
eventschemas.registry_policy,eventschemas,RegistryPolicy,artifact,none,,,no,no read operation; cannot be collected
eventschemas.schema,eventschemas,Schema,artifact,none,,,no,no read operation; cannot be collected
evidently.experiment_result,evidently,experiment_result,artifact,none,,,no,"name denotes an API readout, not a resource"
evidently.tags_for_resource,evidently,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
evs.environment_host,evs,environment_host,artifact,none,,,no,returns a list but declares no id field
evs.environment_vlan,evs,environment_vlan,artifact,none,,,no,returns a list but declares no id field
evs.tags_for_resource,evs,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
fargate.account_setting,fargate,account_setting,artifact,none,,,no,"name denotes an API readout, not a resource"
finspace.tags_for_resource,finspace,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
fis.experiment_target_account_configuration,fis,experiment_target_account_configuration,artifact,none,,,no,"name denotes an API readout, not a resource"
