cfn_type,cfn_namespace,cfn_resource,slug,primary_identifier,additional_identifiers,arn_property,has_read_handler,taggable,relationship_refs,description
AWS::Cognito::UserPoolUserToGroupAttachment,Cognito,UserPoolUserToGroupAttachment,cognito.user_pool_user_to_group_attachment,"UserPoolId,GroupName,Username",,,yes,no,,Resource Type definition for AWS::Cognito::UserPoolUserToGroupAttachment
AWS::Comprehend::DocumentClassifier,Comprehend,DocumentClassifier,comprehend.document_classifier,Arn,,Arn,yes,yes,,Document Classifier enables training document classifier models.
AWS::Comprehend::Flywheel,Comprehend,Flywheel,comprehend.flywheel,Arn,,Arn,yes,yes,,The AWS::Comprehend::Flywheel resource creates an Amazon Comprehend Flywheel that enables customer to train their model.
AWS::ComputeOptimizer::AutomationRule,ComputeOptimizer,AutomationRule,compute-optimizer.automation_rule,RuleArn,,RuleArn,yes,yes,,Creates an AWS Compute Optimizer automation rule that automatically implements recommended actions based on your defined criteria and schedule. Automation rules are global resources that manage automa
AWS::Config::AggregationAuthorization,Config,AggregationAuthorization,config.aggregation_authorization,"AuthorizedAccountId,AuthorizedAwsRegion",,AggregationAuthorizationArn,yes,yes,,Resource Type definition for AWS::Config::AggregationAuthorization
AWS::Config::ConfigRule,Config,ConfigRule,config.config_rule,ConfigRuleName,,Arn,yes,no,,"You must first create and start the CC configuration recorder in order to create CC managed rules with CFNlong. For more information, see [Managing the Configuration Recorder](https://docs.aws.amazon."
AWS::Config::ConfigurationAggregator,Config,ConfigurationAggregator,config.configuration_aggregator,ConfigurationAggregatorName,,ConfigurationAggregatorArn,yes,yes,,Resource Type definition for AWS::Config::ConfigurationAggregator
AWS::Config::ConfigurationRecorder,Config,ConfigurationRecorder,config.configuration_recorder,Id,,,no,no,,Resource Type definition for AWS::Config::ConfigurationRecorder
AWS::Config::ConformancePack,Config,ConformancePack,config.conformance_pack,ConformancePackName,,ConformancePackArn,yes,yes,,A conformance pack is a collection of AWS Config rules and remediation actions that can be easily deployed as a single entity in an account and a region or across an entire AWS Organization.
AWS::Config::Connector,Config,Connector,config.connector,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Config::Connector
AWS::Config::DeliveryChannel,Config,DeliveryChannel,config.delivery_channel,Id,,,no,no,,Resource Type definition for AWS::Config::DeliveryChannel
AWS::Config::OrganizationConfigRule,Config,OrganizationConfigRule,config.organization_config_rule,Id,,,no,no,,Resource Type definition for AWS::Config::OrganizationConfigRule
AWS::Config::OrganizationConformancePack,Config,OrganizationConformancePack,config.organization_conformance_pack,OrganizationConformancePackName,,OrganizationConformancePackArn,yes,yes,,Resource Type definition for AWS::Config::OrganizationConformancePack.
AWS::Config::RemediationConfiguration,Config,RemediationConfiguration,config.remediation_configuration,ConfigRuleName,,,yes,no,,Resource Type definition for AWS::Config::RemediationConfiguration
AWS::Config::StoredQuery,Config,StoredQuery,config.stored_query,QueryName,,QueryArn,yes,yes,,Resource Type definition for AWS::Config::StoredQuery
AWS::Connect::AgentStatus,Connect,AgentStatus,connect.agent_status,AgentStatusArn,,AgentStatusArn,yes,yes,,Resource Type definition for AWS::Connect::AgentStatus
AWS::Connect::ApprovedOrigin,Connect,ApprovedOrigin,connect.approved_origin,"InstanceId,Origin",,,yes,no,,Resource Type definition for AWS::Connect::ApprovedOrigin
AWS::Connect::ContactFlow,Connect,ContactFlow,connect.contact_flow,ContactFlowArn,,ContactFlowArn,yes,yes,,Resource Type definition for AWS::Connect::ContactFlow
AWS::Connect::ContactFlowModule,Connect,ContactFlowModule,connect.contact_flow_module,ContactFlowModuleArn,,ContactFlowModuleArn,yes,yes,,Resource Type definition for AWS::Connect::ContactFlowModule.
AWS::Connect::ContactFlowModuleAlias,Connect,ContactFlowModuleAlias,connect.contact_flow_module_alias,ContactFlowModuleAliasARN,,ContactFlowModuleAliasARN,yes,no,,Resource Type definition for ContactFlowModuleAlias
AWS::Connect::ContactFlowModuleVersion,Connect,ContactFlowModuleVersion,connect.contact_flow_module_version,ContactFlowModuleVersionARN,,ContactFlowModuleVersionARN,yes,no,,Resource Type definition for ContactFlowModuleVersion
AWS::Connect::ContactFlowVersion,Connect,ContactFlowVersion,connect.contact_flow_version,ContactFlowVersionARN,,ContactFlowVersionARN,yes,no,,Resource Type Definition for ContactFlowVersion
AWS::Connect::DataLakeAssociation,Connect,DataLakeAssociation,connect.data_lake_association,"InstanceId,DataSetId,TargetAccountId",,ResourceShareArn,yes,no,,Resource schema for AWS::Connect::DataLakeAssociation
AWS::Connect::DataTable,Connect,DataTable,connect.data_table,"InstanceArn,Arn",,Arn,yes,yes,,Resource Type definition for AWS::Connect::DataTable
AWS::Connect::DataTableAttribute,Connect,DataTableAttribute,connect.data_table_attribute,"InstanceArn,DataTableArn,AttributeId",InstanceArn|DataTableArn|Name,,yes,no,,Resource Type definition for AWS::Connect::DataTableAttribute
AWS::Connect::DataTableRecord,Connect,DataTableRecord,connect.data_table_record,"InstanceArn,DataTableArn,RecordId",,,yes,no,,Resource Type definition for AWS::Connect::DataTableRecord
AWS::Connect::EmailAddress,Connect,EmailAddress,connect.email_address,EmailAddressArn,,EmailAddressArn,yes,yes,,Resource Type definition for AWS::Connect::EmailAddress
AWS::Connect::EvaluationForm,Connect,EvaluationForm,connect.evaluation_form,EvaluationFormArn,,EvaluationFormArn,yes,yes,,Creates an evaluation form for the specified CON instance.
AWS::Connect::HoursOfOperation,Connect,HoursOfOperation,connect.hours_of_operation,HoursOfOperationArn,,HoursOfOperationArn,yes,yes,,Resource Type definition for AWS::Connect::HoursOfOperation
AWS::Connect::Instance,Connect,Instance,connect.instance,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Connect::Instance
AWS::Connect::InstanceStorageConfig,Connect,InstanceStorageConfig,connect.instance_storage_config,"InstanceArn,AssociationId,ResourceType",,,yes,no,,Resource Type definition for AWS::Connect::InstanceStorageConfig
AWS::Connect::IntegrationAssociation,Connect,IntegrationAssociation,connect.integration_association,"InstanceId,IntegrationType,IntegrationArn",,,yes,yes,,Resource Type definition for AWS::Connect::IntegrationAssociation
AWS::Connect::Notification,Connect,Notification,connect.notification,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Connect::Notification
AWS::Connect::PhoneNumber,Connect,PhoneNumber,connect.phone_number,PhoneNumberArn,,PhoneNumberArn,yes,yes,,Resource Type definition for AWS::Connect::PhoneNumber
AWS::Connect::PredefinedAttribute,Connect,PredefinedAttribute,connect.predefined_attribute,"InstanceArn,Name",,,yes,no,,Resource Type definition for AWS::Connect::PredefinedAttribute
AWS::Connect::Prompt,Connect,Prompt,connect.prompt,PromptArn,,PromptArn,yes,yes,,Resource Type definition for AWS::Connect::Prompt
AWS::Connect::Queue,Connect,Queue,connect.queue,QueueArn,,QueueArn,yes,yes,,Resource Type definition for AWS::Connect::Queue
AWS::Connect::QuickConnect,Connect,QuickConnect,connect.quick_connect,QuickConnectArn,,QuickConnectArn,yes,yes,,Resource Type definition for AWS::Connect::QuickConnect
AWS::Connect::RoutingProfile,Connect,RoutingProfile,connect.routing_profile,RoutingProfileArn,,RoutingProfileArn,yes,yes,,Resource Type definition for AWS::Connect::RoutingProfile
AWS::Connect::Rule,Connect,Rule,connect.rule,RuleArn,,RuleArn,yes,yes,,Creates a rule for the specified CON instance.
AWS::Connect::SecurityKey,Connect,SecurityKey,connect.security_key,"InstanceId,AssociationId",,,yes,no,,Resource Type definition for AWS::Connect::SecurityKey
AWS::Connect::SecurityProfile,Connect,SecurityProfile,connect.security_profile,SecurityProfileArn,,SecurityProfileArn,yes,yes,,Resource Type definition for AWS::Connect::SecurityProfile
AWS::Connect::TaskTemplate,Connect,TaskTemplate,connect.task_template,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Connect::TaskTemplate.
AWS::Connect::TestCase,Connect,TestCase,connect.test_case,TestCaseArn,,TestCaseArn,yes,yes,,Resource Type definition for AWS::Connect::TestCase
AWS::Connect::TrafficDistributionGroup,Connect,TrafficDistributionGroup,connect.traffic_distribution_group,TrafficDistributionGroupArn,,TrafficDistributionGroupArn,yes,yes,,Resource Type definition for AWS::Connect::TrafficDistributionGroup
AWS::Connect::User,Connect,User,connect.user,UserArn,,UserArn,yes,yes,,Resource Type definition for AWS::Connect::User
AWS::Connect::UserHierarchyGroup,Connect,UserHierarchyGroup,connect.user_hierarchy_group,UserHierarchyGroupArn,,UserHierarchyGroupArn,yes,yes,,Resource Type definition for AWS::Connect::UserHierarchyGroup
AWS::Connect::UserHierarchyStructure,Connect,UserHierarchyStructure,connect.user_hierarchy_structure,UserHierarchyStructureArn,,UserHierarchyStructureArn,yes,no,,Resource Type definition for AWS::Connect::UserHierarchyStructure
AWS::Connect::View,Connect,View,connect.view,ViewArn,,ViewArn,yes,yes,,Resource Type definition for AWS::Connect::View
AWS::Connect::ViewVersion,Connect,ViewVersion,connect.view_version,ViewVersionArn,,ViewVersionArn,yes,no,,Resource Type definition for AWS::Connect::ViewVersion
AWS::Connect::Workspace,Connect,Workspace,connect.workspace,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Connect::Workspace
AWS::ConnectCampaigns::Campaign,ConnectCampaigns,Campaign,connectcampaigns.campaign,Arn,,Arn,yes,yes,,Definition of AWS::ConnectCampaigns::Campaign Resource Type
AWS::ConnectCampaignsV2::Campaign,ConnectCampaignsV2,Campaign,connectcampaignsv2.campaign,Arn,,Arn,yes,yes,,Definition of AWS::ConnectCampaignsV2::Campaign Resource Type
AWS::ControlTower::EnabledBaseline,ControlTower,EnabledBaseline,controltower.enabled_baseline,EnabledBaselineIdentifier,,,yes,yes,,Definition of AWS::ControlTower::EnabledBaseline Resource Type
AWS::ControlTower::EnabledControl,ControlTower,EnabledControl,controltower.enabled_control,"TargetIdentifier,ControlIdentifier",,,yes,yes,,Enables a control on a specified target.
AWS::ControlTower::LandingZone,ControlTower,LandingZone,controltower.landing_zone,LandingZoneIdentifier,,Arn,yes,yes,,Definition of AWS::ControlTower::LandingZone Resource Type
AWS::CustomerProfiles::CalculatedAttributeDefinition,CustomerProfiles,CalculatedAttributeDefinition,customer-profiles.calculated_attribute_definition,"DomainName,CalculatedAttributeName",,,yes,yes,,A calculated attribute definition for Customer Profiles
AWS::CustomerProfiles::Domain,CustomerProfiles,Domain,customer-profiles.domain,DomainName,,,yes,yes,,A domain defined for 3rd party data source in Profile Service
AWS::CustomerProfiles::DomainObjectType,CustomerProfiles,DomainObjectType,customer-profiles.domain_object_type,"DomainName,ObjectTypeName",,,yes,yes,,Resource Type definition for AWS::CustomerProfiles::DomainObjectType
AWS::CustomerProfiles::EventStream,CustomerProfiles,EventStream,customer-profiles.event_stream,"DomainName,EventStreamName",,EventStreamArn,yes,yes,,An Event Stream resource of Amazon Connect Customer Profiles
AWS::CustomerProfiles::EventTrigger,CustomerProfiles,EventTrigger,customer-profiles.event_trigger,"DomainName,EventTriggerName",,,yes,yes,,An event trigger resource of Amazon Connect Customer Profiles
AWS::CustomerProfiles::Integration,CustomerProfiles,Integration,customer-profiles.integration,"DomainName,Uri",,,yes,yes,,The resource schema for creating an Amazon Connect Customer Profiles Integration.
AWS::CustomerProfiles::ObjectType,CustomerProfiles,ObjectType,customer-profiles.object_type,"DomainName,ObjectTypeName",,,yes,yes,,An ObjectType resource of Amazon Connect Customer Profiles
AWS::CustomerProfiles::Recommender,CustomerProfiles,Recommender,customer-profiles.recommender,"DomainName,RecommenderName",,RecommenderArn,yes,yes,,Resource Type definition for AWS::CustomerProfiles::Recommender
AWS::CustomerProfiles::SegmentDefinition,CustomerProfiles,SegmentDefinition,customer-profiles.segment_definition,"DomainName,SegmentDefinitionName",,SegmentDefinitionArn,yes,yes,,A segment definition resource of Amazon Connect Customer Profiles
AWS::DAX::Cluster,DAX,Cluster,dax.cluster,Id,,Arn,no,no,,Resource Type definition for AWS::DAX::Cluster
AWS::DAX::ParameterGroup,DAX,ParameterGroup,dax.parameter_group,Id,,,no,no,,Resource Type definition for AWS::DAX::ParameterGroup
AWS::DAX::SubnetGroup,DAX,SubnetGroup,dax.subnet_group,Id,,,no,no,,Resource Type definition for AWS::DAX::SubnetGroup
AWS::DLM::LifecyclePolicy,DLM,LifecyclePolicy,dlm.lifecycle_policy,Id,,Arn,no,no,,Resource Type definition for AWS::DLM::LifecyclePolicy
AWS::DMS::Certificate,DMS,Certificate,dms.certificate,CertificateArn,,CertificateArn,yes,no,,Resource Type definition for AWS::DMS::Certificate
AWS::DMS::DataMigration,DMS,DataMigration,dms.data_migration,DataMigrationArn,DataMigrationName,DataMigrationArn,yes,yes,,Resource schema for AWS::DMS::DataMigration.
AWS::DMS::DataProvider,DMS,DataProvider,dms.data_provider,DataProviderArn,DataProviderName,DataProviderArn,yes,yes,,Resource schema for AWS::DMS::DataProvider
AWS::DMS::Endpoint,DMS,Endpoint,dms.endpoint,EndpointArn,,EndpointArn,yes,yes,,Resource Type definition for AWS::DMS::Endpoint
AWS::DMS::EventSubscription,DMS,EventSubscription,dms.event_subscription,Id,,,no,no,,Resource Type definition for AWS::DMS::EventSubscription
AWS::DMS::InstanceProfile,DMS,InstanceProfile,dms.instance_profile,InstanceProfileArn,InstanceProfileName,InstanceProfileArn,yes,yes,,Resource schema for AWS::DMS::InstanceProfile.
AWS::DMS::MigrationProject,DMS,MigrationProject,dms.migration_project,MigrationProjectArn,MigrationProjectName,MigrationProjectArn,yes,yes,,Resource schema for AWS::DMS::MigrationProject
AWS::DMS::ReplicationConfig,DMS,ReplicationConfig,dms.replication_config,ReplicationConfigArn,ReplicationConfigIdentifier,ReplicationConfigArn,yes,yes,,A replication configuration that you later provide to configure and start a AWS DMS Serverless replication
AWS::DMS::ReplicationInstance,DMS,ReplicationInstance,dms.replication_instance,Id,,,no,no,,Resource Type definition for AWS::DMS::ReplicationInstance
AWS::DMS::ReplicationSubnetGroup,DMS,ReplicationSubnetGroup,dms.replication_subnet_group,Id,,,no,no,,Resource Type definition for AWS::DMS::ReplicationSubnetGroup
AWS::DMS::ReplicationTask,DMS,ReplicationTask,dms.replication_task,Id,,,no,no,,Resource Type definition for AWS::DMS::ReplicationTask
AWS::DSQL::Cluster,DSQL,Cluster,dsql.cluster,Identifier,,ResourceArn,yes,yes,,Resource Type definition for AWS::DSQL::Cluster
AWS::DataBrew::Dataset,DataBrew,Dataset,databrew.dataset,Name,,,yes,yes,,Resource schema for AWS::DataBrew::Dataset.
AWS::DataBrew::Job,DataBrew,Job,databrew.job,Name,,,yes,yes,,Resource schema for AWS::DataBrew::Job.
AWS::DataBrew::Project,DataBrew,Project,databrew.project,Name,,,yes,yes,,Resource schema for AWS::DataBrew::Project.
AWS::DataBrew::Recipe,DataBrew,Recipe,databrew.recipe,Name,,,yes,yes,,Resource schema for AWS::DataBrew::Recipe.
AWS::DataBrew::Ruleset,DataBrew,Ruleset,databrew.ruleset,Name,,,yes,yes,,Resource schema for AWS::DataBrew::Ruleset.
AWS::DataBrew::Schedule,DataBrew,Schedule,databrew.schedule,Name,,,yes,yes,,Resource schema for AWS::DataBrew::Schedule.
AWS::DataPipeline::Pipeline,DataPipeline,Pipeline,datapipeline.pipeline,PipelineId,,,yes,yes,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::DataSync::Agent,DataSync,Agent,datasync.agent,AgentArn,,AgentArn,yes,yes,,Resource schema for AWS::DataSync::Agent.
AWS::DataSync::LocationAzureBlob,DataSync,LocationAzureBlob,datasync.location_azure_blob,LocationArn,,LocationArn,yes,yes,,Resource Type definition for AWS::DataSync::LocationAzureBlob.
AWS::DataSync::LocationEFS,DataSync,LocationEFS,datasync.location_efs,LocationArn,,LocationArn,yes,yes,,Resource schema for AWS::DataSync::LocationEFS.
AWS::DataSync::LocationFSxLustre,DataSync,LocationFSxLustre,datasync.location_f_sx_lustre,LocationArn,,LocationArn,yes,yes,,Resource schema for AWS::DataSync::LocationFSxLustre.
AWS::DataSync::LocationFSxONTAP,DataSync,LocationFSxONTAP,datasync.location_f_sx_ontap,LocationArn,,LocationArn,yes,yes,,Resource Type definition for AWS::DataSync::LocationFSxONTAP.
AWS::DataSync::LocationFSxOpenZFS,DataSync,LocationFSxOpenZFS,datasync.location_f_sx_open_zfs,LocationArn,,LocationArn,yes,yes,,Resource schema for AWS::DataSync::LocationFSxOpenZFS.
AWS::DataSync::LocationFSxWindows,DataSync,LocationFSxWindows,datasync.location_f_sx_windows,LocationArn,,LocationArn,yes,yes,,Resource Type definition for AWS::DataSync::LocationFSxWindows.
AWS::DataSync::LocationHDFS,DataSync,LocationHDFS,datasync.location_hdfs,LocationArn,,LocationArn,yes,yes,,Resource Type definition for AWS::DataSync::LocationHDFS.
AWS::DataSync::LocationNFS,DataSync,LocationNFS,datasync.location_nfs,LocationArn,,LocationArn,yes,yes,,Resource schema for AWS::DataSync::LocationNFS
AWS::DataSync::LocationObjectStorage,DataSync,LocationObjectStorage,datasync.location_object_storage,LocationArn,,LocationArn,yes,yes,,Resource Type definition for AWS::DataSync::LocationObjectStorage.
AWS::DataSync::LocationS3,DataSync,LocationS3,datasync.location_s3,LocationArn,,LocationArn,yes,yes,,Resource schema for AWS::DataSync::LocationS3
AWS::DataSync::LocationSMB,DataSync,LocationSMB,datasync.location_smb,LocationArn,,LocationArn,yes,yes,,Resource Type definition for AWS::DataSync::LocationSMB.
AWS::DataSync::Task,DataSync,Task,datasync.task,TaskArn,,TaskArn,yes,yes,,Resource schema for AWS::DataSync::Task.
AWS::DataZone::Connection,DataZone,Connection,datazone.connection,"DomainId,ConnectionId",,,yes,no,,"Connections enables users to connect their DataZone resources (domains, projects, and environments) to external resources/services (data, compute, etc)"
AWS::DataZone::DataSource,DataZone,DataSource,datazone.data_source,"DomainId,Id",,,yes,no,,A data source is used to import technical metadata of assets (data) from the source databases or data warehouses into Amazon DataZone. 
AWS::DataZone::Domain,DataZone,Domain,datazone.domain,Id,Name,Arn,yes,yes,,"A domain is an organizing entity for connecting together assets, users, and their projects"
AWS::DataZone::DomainUnit,DataZone,DomainUnit,datazone.domain_unit,"DomainId,Id",,,yes,no,,A domain unit enables you to easily organize your assets and other domain entities under specific business units and teams.
AWS::DataZone::Environment,DataZone,Environment,datazone.environment,"DomainId,Id",DomainIdentifier,,yes,no,,Definition of AWS::DataZone::Environment Resource Type
AWS::DataZone::EnvironmentActions,DataZone,EnvironmentActions,datazone.environment_actions,"DomainId,EnvironmentId,Id",EnvironmentIdentifier,,yes,no,,Definition of AWS::DataZone::EnvironmentActions Resource Type
AWS::DataZone::EnvironmentBlueprintConfiguration,DataZone,EnvironmentBlueprintConfiguration,datazone.environment_blueprint_configuration,"DomainId,EnvironmentBlueprintId",DomainIdentifier|EnvironmentBlueprintIdentifier,,yes,no,,Definition of AWS::DataZone::EnvironmentBlueprintConfiguration Resource Type
AWS::DataZone::EnvironmentProfile,DataZone,EnvironmentProfile,datazone.environment_profile,"DomainId,Id",DomainIdentifier,,yes,no,,AWS Datazone Environment Profile is pre-configured set of resources and blueprints that provide reusable templates for creating environments.
AWS::DataZone::FormType,DataZone,FormType,datazone.form_type,"DomainIdentifier,FormTypeIdentifier",Name,,yes,no,,Create and manage form types in Amazon Datazone
AWS::DataZone::GroupProfile,DataZone,GroupProfile,datazone.group_profile,"DomainId,Id",,,yes,no,,"Group profiles represent groups of Amazon DataZone users. Groups can be manually created, or mapped to Active Directory groups of enterprise customers. In Amazon DataZone, groups serve two purposes. F"
AWS::DataZone::Owner,DataZone,Owner,datazone.owner,"DomainIdentifier,EntityType,EntityIdentifier,OwnerType,OwnerIdentifier",,,yes,no,,A owner can set up authorization permissions on their resources.
AWS::DataZone::PolicyGrant,DataZone,PolicyGrant,datazone.policy_grant,"DomainIdentifier,GrantId,EntityIdentifier,EntityType,PolicyType",,,yes,no,,"Policy Grant in AWS DataZone is an explicit authorization assignment that allows a specific principal (user, group, or project) to perform particular actions (such as creating glossary terms, managing"
AWS::DataZone::Project,DataZone,Project,datazone.project,"DomainId,Id",DomainIdentifier,,yes,no,,"Amazon DataZone projects are business use case–based groupings of people, assets (data), and tools used to simplify access to the AWS analytics."
AWS::DataZone::ProjectMembership,DataZone,ProjectMembership,datazone.project_membership,"DomainIdentifier,MemberIdentifier,MemberIdentifierType,ProjectIdentifier",,,yes,no,,Definition of AWS::DataZone::ProjectMembership Resource Type
AWS::DataZone::ProjectProfile,DataZone,ProjectProfile,datazone.project_profile,"DomainIdentifier,Identifier",,,yes,no,,Definition of AWS::DataZone::ProjectProfile Resource Type
AWS::DataZone::SubscriptionTarget,DataZone,SubscriptionTarget,datazone.subscription_target,"DomainId,EnvironmentId,Id",,,yes,no,,Subscription targets enables one to access the data to which you have subscribed in your projects.
AWS::DataZone::UserProfile,DataZone,UserProfile,datazone.user_profile,"DomainId,Id",,,yes,no,,A user profile represents Amazon DataZone users. Amazon DataZone supports both IAM roles and SSO identities to interact with the Amazon DataZone Management Console and the data portal for different pu
AWS::Deadline::Farm,Deadline,Farm,deadline.farm,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Deadline::Farm
AWS::Deadline::Fleet,Deadline,Fleet,deadline.fleet,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Deadline::Fleet
AWS::Deadline::LicenseEndpoint,Deadline,LicenseEndpoint,deadline.license_endpoint,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Deadline::LicenseEndpoint
AWS::Deadline::Limit,Deadline,Limit,deadline.limit,"FarmId,LimitId",,,yes,no,,Resource Type definition for AWS::Deadline::Limit
AWS::Deadline::MeteredProduct,Deadline,MeteredProduct,deadline.metered_product,Arn,,Arn,yes,no,,Resource Type definition for AWS::Deadline::MeteredProduct
AWS::Deadline::Monitor,Deadline,Monitor,deadline.monitor,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Deadline::Monitor
AWS::Deadline::Queue,Deadline,Queue,deadline.queue,Arn,,Arn,yes,yes,,Resource Type definition for AWS::Deadline::Queue
AWS::Deadline::QueueEnvironment,Deadline,QueueEnvironment,deadline.queue_environment,"FarmId,QueueId,QueueEnvironmentId",,,yes,no,,Resource Type definition for AWS::Deadline::QueueEnvironment
AWS::Deadline::QueueFleetAssociation,Deadline,QueueFleetAssociation,deadline.queue_fleet_association,"FarmId,FleetId,QueueId",,,yes,no,,Resource Type definition for AWS::Deadline::QueueFleetAssociation
AWS::Deadline::QueueLimitAssociation,Deadline,QueueLimitAssociation,deadline.queue_limit_association,"FarmId,LimitId,QueueId",,,yes,no,,Resource Type definition for AWS::Deadline::QueueLimitAssociation
AWS::Deadline::StorageProfile,Deadline,StorageProfile,deadline.storage_profile,"FarmId,StorageProfileId",,,yes,no,,Resource Type definition for AWS::Deadline::StorageProfile
AWS::Detective::Graph,Detective,Graph,detective.graph,Arn,,Arn,yes,yes,,Resource schema for AWS::Detective::Graph
AWS::Detective::MemberInvitation,Detective,MemberInvitation,detective.member_invitation,"GraphArn,MemberId",,,yes,no,,Resource schema for AWS::Detective::MemberInvitation
AWS::Detective::OrganizationAdmin,Detective,OrganizationAdmin,detective.organization_admin,AccountId,,GraphArn,yes,no,,Resource schema for AWS::Detective::OrganizationAdmin
AWS::DevOpsAgent::AgentSpace,DevOpsAgent,AgentSpace,devopsagent.agent_space,AgentSpaceId,,Arn,yes,yes,,Resource Type definition for AWS::DevOpsAgent::AgentSpace
AWS::DevOpsAgent::Association,DevOpsAgent,Association,devopsagent.association,"AgentSpaceId,AssociationId",,,yes,no,,"Resource Type definition for AWS::DevOpsAgent::Association defining how the AgentSpace interacts with external services like GitHub, Slack, AWS accounts, and others."
AWS::DevOpsAgent::PrivateConnection,DevOpsAgent,PrivateConnection,devopsagent.private_connection,Name,,Arn,yes,yes,,Resource Type definition for AWS::DevOpsAgent::PrivateConnection
AWS::DevOpsAgent::Service,DevOpsAgent,Service,devopsagent.service,ServiceId,,Arn,yes,yes,,"The AWS::DevOpsAgent::Service resource registers external services (like Dynatrace, MCP servers, GitLab) for integration with DevOpsAgent."
AWS::DevOpsGuru::LogAnomalyDetectionIntegration,DevOpsGuru,LogAnomalyDetectionIntegration,devops-guru.log_anomaly_detection_integration,AccountId,,,yes,no,,This resource schema represents the LogAnomalyDetectionIntegration resource in the Amazon DevOps Guru.
AWS::DevOpsGuru::NotificationChannel,DevOpsGuru,NotificationChannel,devops-guru.notification_channel,Id,,,yes,no,,This resource schema represents the NotificationChannel resource in the Amazon DevOps Guru.
AWS::DevOpsGuru::ResourceCollection,DevOpsGuru,ResourceCollection,devops-guru.resource_collection,ResourceCollectionType,,,yes,no,,This resource schema represents the ResourceCollection resource in the Amazon DevOps Guru.
AWS::DirectConnect::Connection,DirectConnect,Connection,directconnect.connection,ConnectionArn,ConnectionId,ConnectionArn,yes,yes,2,Resource Type definition for AWS::DirectConnect::Connection
AWS::DirectConnect::DirectConnectGateway,DirectConnect,DirectConnectGateway,directconnect.direct_connect_gateway,DirectConnectGatewayArn,DirectConnectGatewayId,DirectConnectGatewayArn,yes,yes,,Resource Type definition for AWS::DirectConnect::DirectConnectGateway
AWS::DirectConnect::DirectConnectGatewayAssociation,DirectConnect,DirectConnectGatewayAssociation,directconnect.direct_connect_gateway_association,AssociationId,,,yes,no,5,Resource Type definition for AWS::DirectConnect::DirectConnectGatewayAssociation
AWS::DirectConnect::Lag,DirectConnect,Lag,directconnect.lag,LagArn,LagId,LagArn,yes,yes,,Resource Type definition for AWS::DirectConnect::Lag
AWS::DirectConnect::PrivateVirtualInterface,DirectConnect,PrivateVirtualInterface,directconnect.private_virtual_interface,VirtualInterfaceArn,VirtualInterfaceId,VirtualInterfaceArn,yes,yes,6,Resource Type definition for AWS::DirectConnect::PrivateVirtualInterface
AWS::DirectConnect::PublicVirtualInterface,DirectConnect,PublicVirtualInterface,directconnect.public_virtual_interface,VirtualInterfaceArn,VirtualInterfaceId,VirtualInterfaceArn,yes,yes,4,Resource Type definition for AWS::DirectConnect::PublicVirtualInterface
AWS::DirectConnect::TransitVirtualInterface,DirectConnect,TransitVirtualInterface,directconnect.transit_virtual_interface,VirtualInterfaceArn,VirtualInterfaceId,VirtualInterfaceArn,yes,yes,6,Resource Type definition for AWS::DirectConnect::TransitVirtualInterface
AWS::DirectoryService::MicrosoftAD,DirectoryService,MicrosoftAD,directoryservice.microsoft_ad,Id,,,no,no,,Resource Type definition for AWS::DirectoryService::MicrosoftAD
AWS::DirectoryService::SimpleAD,DirectoryService,SimpleAD,directoryservice.simple_ad,DirectoryId,,,yes,yes,,Resource Type definition for AWS::DirectoryService::SimpleAD
AWS::DocDB::DBCluster,DocDB,DBCluster,docdb.db_cluster,Id,,,no,no,,Resource Type definition for AWS::DocDB::DBCluster
AWS::DocDB::DBClusterParameterGroup,DocDB,DBClusterParameterGroup,docdb.db_cluster_parameter_group,Id,,,no,no,,Resource Type definition for AWS::DocDB::DBClusterParameterGroup
AWS::DocDB::DBInstance,DocDB,DBInstance,docdb.db_instance,Id,,,no,no,,Resource Type definition for AWS::DocDB::DBInstance
AWS::DocDB::DBSubnetGroup,DocDB,DBSubnetGroup,docdb.db_subnet_group,Id,,,no,no,,Resource Type definition for AWS::DocDB::DBSubnetGroup
AWS::DocDB::EventSubscription,DocDB,EventSubscription,docdb.event_subscription,SubscriptionName,,,yes,no,,Resource Type definition for AWS::DocDB::EventSubscription
AWS::DocDB::GlobalCluster,DocDB,GlobalCluster,docdb.global_cluster,GlobalClusterIdentifier,,GlobalClusterArn,yes,yes,,The AWS::DocDB::GlobalCluster resource represents an Amazon DocumentDB Global Cluster.
AWS::DocDBElastic::Cluster,DocDBElastic,Cluster,docdb-elastic.cluster,ClusterArn,,ClusterArn,yes,yes,,The AWS::DocDBElastic::Cluster Amazon DocumentDB (with MongoDB compatibility) Elastic Scale resource describes a Cluster
